id;name;version;description;valid_from;valid_to;risk_id
1;Electronics Money Market Account applications;50959;Producer Egyptian Pound;2020-11-05;2020-11-05;4960562d-9af8-4a74-9b69-3c65471950c9
2;primary yellow;40375;red e-markets;2020-11-05;2020-11-05;07e1d5b9-c3d8-476c-ab04-74f6326287d1
3;Regional application;16872;withdrawal;2020-11-05;2020-11-05;147f93f6-0b76-420f-a0ce-0d86e3d63200
4;El Salvador;76197;HTTP initiative;2020-11-05;2020-11-05;c1c95666-fd8c-4888-a11c-56d231320a8f
5;relationships auxiliary;20317;intranet impactful;2020-11-04;2020-11-05;b77607ff-0fcd-4648-a47e-d3cbb666c122
6;Buckinghamshire solutions Practical Rubber Bacon;10570;Usability Generic Electronics;2020-11-05;2020-11-05;aa9054bc-ea26-43ac-9409-c9930bc01511
7;Dominican Peso backing up Beauty;82457;Forward;2020-11-05;2020-11-04;12edc937-feb1-49f7-aef1-82916a2c831c
8;Fresh cultivate Walks;85512;Facilitator Intelligent;2020-11-05;2020-11-05;da9cca3b-2a1a-4919-ae40-20c772600440
9;SDD navigating South Carolina;77269;yellow Synergized;2020-11-05;2020-11-05;32021903-5b24-4f6e-99c3-4d6ae8934bcf
10;USB;12765;capability Connecticut Dale;2020-11-04;2020-11-05;634972fe-2330-435c-bf72-b5aecc9b1526
