id;name;version;description;valid_from;valid_to
1;Grass-roots;23685;schemas;2020-11-04;2020-11-05
2;Handmade Concrete Fish IB Bedfordshire;60390;navigate communities;2020-11-05;2020-11-05
3;Optimized Practical;32301;generating Handcrafted Cotton Pizza;2020-11-05;2020-11-05
4;multi-byte;91224;Florida synthesize;2020-11-04;2020-11-05
5;Savings Account indigo;36009;Incredible;2020-11-05;2020-11-05
6;Berkshire quantify;93995;programming programming open system;2020-11-05;2020-11-05
7;Organized overriding;60602;Accountability;2020-11-05;2020-11-05
8;Tuna;55668;secondary Tasty;2020-11-05;2020-11-05
9;SDR XML Security;45494;Orchestrator payment Mouse;2020-11-05;2020-11-05
10;Rustic Steel Pants invoice Global;85602;Unbranded Dynamic auxiliary;2020-11-05;2020-11-05
