id;name;description;risk_description;assessment_description
1;Toys architecture parse;Cheese parse transmitter;PCI;infomediaries action-items Bedfordshire
2;monetize Handmade Metal Ball;Skyway Books Grenada;Mobility matrix;Operations Mayotte
3;next-generation;Corporate Ergonomic Mobility;Human;Decentralized Malaysia
4;feed;Grass-roots Bike;azure;secondary
5;Bulgarian Lev;Branding;Generic Cotton Chair Crossroad;users ivory
6;index El Salvador Colon US Dollar knowledge user;Ameliorated Turkmenistan microchip;quantifying;structure Concrete multi-byte
7;Streamlined markets;Games Checking Account;Dominican Republic Savings Account;COM Global compelling
8;SDD indexing;hub Springs Tanzania;Kansas Pizza;Guinea Franc
9;budgetary management Salad;connect Buckinghamshire;Shirt explicit;IB Spur
10;Business-focused override;e-enable;Grocery;Rapid
